Departamento,antioquia,arauca,atlantico,bolivar,boyaca,casanare,cauca,cesar,cordoba,cundinamarca,departamento nn,huila,magdalena,meta,nariño,norte de santander,putumayo,santander,sucre,tolima,vichada,caqueta,nd
Febrero_2018,16644.002857142856,46917.54357142856,206.9657142857143,9656.012857142856,35092.16428571429,166017.55285714284,759.4242857142857,20651.142142857145,0.9921428571428572,145.4278571428571,667.9646428571428,24586.5925,157.43357142857147,384775.35214285715,258.7407142857143,3033.3221428571424,34989.25678571429,62849.94107142858,36.0,15884.650714285714,0,0.0,0
Marzo_2018,16010.668709677426,47985.819354838706,206.138064516129,10183.571935483871,35014.33225806451,167325.44387096775,772.3096774193549,21626.297096774197,0.922258064516129,188.24516129032256,993.5706451612904,24775.10516129032,152.07774193548389,411949.42483870964,256.8316129032258,3036.2932258064516,34671.76870967742,65119.9693548387,40.77419354838709,16185.87258064516,0,0.0,0
Abril_2018,16006.192333333334,48375.58066666667,209.9943333333333,10457.064333333336,36177.70900000001,173735.13100000002,746.4203333333334,22297.226333333332,0.8483333333333333,248.95100000000002,1576.465333333333,24072.934666666664,185.35333333333338,415525.18666666676,259.9236666666667,2935.132333333333,33430.879,62839.75233333332,38.96666666666666,15631.74233333333,0,0.0,0
Mayo_2018,15883.33838709677,46071.664193548386,207.5003225806452,9888.85741935484,34466.934516129026,175170.38258064515,665.8722580645161,22105.281612903233,1.057741935483871,253.5503225806451,1819.422903225807,23609.692258064515,172.04161290322574,421068.3503225807,257.2109677419355,2910.768064516129,32021.32483870968,64198.36903225805,36.92258064516129,15184.734193548387,0,0.5358064516129032,0
Junio_2018,16962.143333333337,46741.994,207.0916666666667,7264.832666666666,33800.53599999999,170615.17766666668,636.9416666666666,22353.769333333337,1.069666666666667,250.47466666666668,891.2886666666667,23632.860666666667,162.73600000000005,423518.5986666666,239.8596666666667,2919.5053333333335,34219.44066666667,64277.09133333333,35.56666666666666,15014.872000000001,0,0.0,0
Julio_2018,16465.4864516129,48494.87290322581,203.1103225806452,10448.607741935486,33752.79129032258,165628.8741935484,617.3170967741936,21832.80483919355,1.125483870967742,252.9680645161291,154.6467741935484,23320.872580645162,156.66677419354838,422719.5103225806,233.6216129032258,2905.509354838711,34515.32612903225,64280.70548387097,32.096774193548384,14385.294516129032,0,0.0,0
Agosto_2018,16586.501612903223,48422.826451612906,206.1387096774194,10427.329032258065,33246.06322580646,169181.09290322586,626.8809677419355,22776.649354645164,1.159032258064516,251.2312903225807,1711.883225806452,23528.858387096778,148.83741935483877,425148.455483871,285.5041935483871,2727.453225806452,33511.25451612903,64043.21451612903,40.29774193548386,13608.672580645163,0,0.0,0
Septiembre_2018,16793.77566666667,48049.00466666666,206.7926666666667,11063.877666666664,32506.75766666667,171066.307,631.4269999999999,24424.660333333333,1.100333333333333,236.16199999999998,2325.982333333333,23243.575,142.34500000000003,425444.1546666666,276.8413333333334,2728.3586666666665,31420.521666666667,63855.94266666667,37.734666666666676,14253.308666666666,0,0.0,0
Octubre_2018,16337.91645161291,48315.81935483871,200.5825806451613,10903.998709677422,32604.553548387095,172744.88032258063,614.3925806451613,25305.624838709682,0.4909677419354839,197.13548387096776,2517.505483870968,24221.984193548386,153.03064516129027,431500.4112903226,264.2293548387096,2654.68129032258,31441.78483870968,64237.370645161296,32.34129032258065,14605.879032258066,0,0.0,0
Noviembre_2018,16201.307666666664,48212.238666666664,230.3786666666666,11892.866999999997,32855.01466666667,172809.18633333332,598.472,26239.16933333334,0.7586666666666667,187.546,2853.565333333333,24575.51066666666,160.75099999999998,433358.9759999999,249.27,2352.2856666666657,31110.526666666665,65136.035999999986,34.864,14204.436666666665,0,0.0,0
Diciembre_2018,16151.193225806452,49454.22000000001,420.3032258064516,12351.846451612906,33369.569354838706,174189.3041935484,586.2696774193548,25029.152258064518,0.4500000000000001,189.56806451612906,2816.265161290323,25167.838387096777,164.1177419354839,437658.5477419355,232.4451612903226,2292.9690322580645,30880.703867741933,64313.783548387095,36.59870967741935,14083.144193548385,0,0.0,0
Enero_2019,15876.449999999999,51716.52,418.45,11602.35,33339.5,176366.94,569.21,25813.440000000002,0.24,190.64,2780.23,23866.99,162.33,447518.28,263.29,2462.21,29566.699999999997,62635.22,36.51,13787.350000000002,0,0,0
Febrero_2019,15748.859999999999,54588.18,409.33,11926.199999999999,33241.34000000001,175290.65000000002,543.7,23897.92,0.24,219.57,2761.52,23691.760000000002,155.6,444398.31,260.03,2525.9300000000003,29306.289999999997,60579.24,39.62,13105.15,0,0,0
Marzo_2019,15742.2,56523.850000000006,404.78,12791.65,31926.67,170123.06999999998,534.6800000000001,24731.07,0.23,179.62,2647.46,23639.23,156.67999999999998,440003.54,256.08,2655.0299999999997,28776.010000000002,60689.34999999999,34.87,13060.070000000002,0,0,0
